bench_id,run_index,is_warmup,ts_utc,torch_version,transformers_version,engine,engine_params,model,dtype,device,device_name,load_s,prompt_label,prompt_tokens,max_new_tokens,batch_size,temperature,top_k,top_p,min_p,seed,stop_on_eos,completion_tokens,stopped_reason,ttft_s,total_s,decode_s,decode_tps,e2e_tps,itl_p50_ms,itl_p95_ms,peak_mem_bytes,peak_mem_source,output_sha8,notes
7953dc6e,1,False,2026-08-09T22:46:38+00:00,2.13.0+cu130,5.14.1,cached,"{""attn"": ""sdpa"", ""cache_layout"": ""preallocated_contiguous"", ""kv_cache"": ""true"", ""logits_to_keep"": ""1""}",Qwen/Qwen2.5-1.5B,float16,cuda,NVIDIA A10,3.5245,p64,64,256,1,,,,,0,False,256,max_new_tokens,0.026996,5.603228,5.576232,45.7298,45.688,21.9208,22.2714,3112367104,cuda.max_memory_allocated,bd3a8218,
7953dc6e,2,False,2026-08-09T22:46:38+00:00,2.13.0+cu130,5.14.1,cached,"{""attn"": ""sdpa"", ""cache_layout"": ""preallocated_contiguous"", ""kv_cache"": ""true"", ""logits_to_keep"": ""1""}",Qwen/Qwen2.5-1.5B,float16,cuda,NVIDIA A10,3.5245,p64,64,256,1,,,,,0,False,256,max_new_tokens,0.027964,5.557866,5.529902,46.1129,46.0608,21.6425,22.1906,3112367104,cuda.max_memory_allocated,bd3a8218,
7953dc6e,3,False,2026-08-09T22:46:38+00:00,2.13.0+cu130,5.14.1,cached,"{""attn"": ""sdpa"", ""cache_layout"": ""preallocated_contiguous"", ""kv_cache"": ""true"", ""logits_to_keep"": ""1""}",Qwen/Qwen2.5-1.5B,float16,cuda,NVIDIA A10,3.5245,p64,64,256,1,,,,,0,False,256,max_new_tokens,0.02868,5.649702,5.621023,45.3654,45.3121,21.8821,22.5976,3112367104,cuda.max_memory_allocated,bd3a8218,
7953dc6e,4,False,2026-08-09T22:46:38+00:00,2.13.0+cu130,5.14.1,cached,"{""attn"": ""sdpa"", ""cache_layout"": ""preallocated_contiguous"", ""kv_cache"": ""true"", ""logits_to_keep"": ""1""}",Qwen/Qwen2.5-1.5B,float16,cuda,NVIDIA A10,3.5245,p64,64,256,1,,,,,0,False,256,max_new_tokens,0.024381,5.597229,5.572848,45.7576,45.7369,21.9167,22.2935,3112367104,cuda.max_memory_allocated,bd3a8218,
7953dc6e,-2,True,2026-08-09T22:46:38+00:00,2.13.0+cu130,5.14.1,cached,"{""attn"": ""sdpa"", ""cache_layout"": ""preallocated_contiguous"", ""kv_cache"": ""true"", ""logits_to_keep"": ""1""}",Qwen/Qwen2.5-1.5B,float16,cuda,NVIDIA A10,3.5245,p256,256,256,1,,,,,0,False,256,max_new_tokens,0.177835,5.701566,5.523731,46.1645,44.8999,21.5761,22.1648,3128590336,cuda.max_memory_allocated,4deebb10,
7953dc6e,-1,True,2026-08-09T22:46:38+00:00,2.13.0+cu130,5.14.1,cached,"{""attn"": ""sdpa"", ""cache_layout"": ""preallocated_contiguous"", ""kv_cache"": ""true"", ""logits_to_keep"": ""1""}",Qwen/Qwen2.5-1.5B,float16,cuda,NVIDIA A10,3.5245,p256,256,256,1,,,,,0,False,256,max_new_tokens,0.023849,5.669221,5.645372,45.1697,45.1561,21.9475,23.2412,3128590336,cuda.max_memory_allocated,4deebb10,
7953dc6e,0,False,2026-08-09T22:46:38+00:00,2.13.0+cu130,5.14.1,cached,"{""attn"": ""sdpa"", ""cache_layout"": ""preallocated_contiguous"", ""kv_cache"": ""true"", ""logits_to_keep"": ""1""}",Qwen/Qwen2.5-1.5B,float16,cuda,NVIDIA A10,3.5245,p256,256,256,1,,,,,0,False,256,max_new_tokens,0.024376,5.552483,5.528107,46.1279,46.1055,21.5113,23.4125,3128590336,cuda.max_memory_allocated,4deebb10,
7953dc6e,1,False,2026-08-09T22:46:38+00:00,2.13.0+cu130,5.14.1,cached,"{""attn"": ""sdpa"", ""cache_layout"": ""preallocated_contiguous"", ""kv_cache"": ""true"", ""logits_to_keep"": ""1""}",Qwen/Qwen2.5-1.5B,float16,cuda,NVIDIA A10,3.5245,p256,256,256,1,,,,,0,False,256,max_new_tokens,0.02386,5.435729,5.411869,47.1187,47.0958,21.1974,21.4934,3128590336,cuda.max_memory_allocated,4deebb10,
7953dc6e,2,False,2026-08-09T22:46:38+00:00,2.13.0+cu130,5.14.1,cached,"{""attn"": ""sdpa"", ""cache_layout"": ""preallocated_contiguous"", ""kv_cache"": ""true"", ""logits_to_keep"": ""1""}",Qwen/Qwen2.5-1.5B,float16,cuda,NVIDIA A10,3.5245,p256,256,256,1,,,,,0,False,256,max_new_tokens,0.02511,5.625106,5.599996,45.5357,45.5103,21.7391,23.0557,3128590336,cuda.max_memory_allocated,4deebb10,
7953dc6e,3,False,2026-08-09T22:46:38+00:00,2.13.0+cu130,5.14.1,cached,"{""attn"": ""sdpa"", ""cache_layout"": ""preallocated_contiguous"", ""kv_cache"": ""true"", ""logits_to_keep"": ""1""}",Qwen/Qwen2.5-1.5B,float16,cuda,NVIDIA A10,3.5245,p256,256,256,1,,,,,0,False,256,max_new_tokens,0.026388,5.456317,5.429929,46.9619,46.9181,21.2286,21.7915,3128590336,cuda.max_memory_allocated,4deebb10,
