bench_id,run_index,is_warmup,ts_utc,torch_version,transformers_version,engine,engine_params,model,dtype,device,device_name,load_s,prompt_label,prompt_tokens,max_new_tokens,batch_size,temperature,top_k,top_p,min_p,seed,stop_on_eos,completion_tokens,stopped_reason,ttft_s,total_s,decode_s,decode_tps,e2e_tps,itl_p50_ms,itl_p95_ms,peak_mem_bytes,peak_mem_source,output_sha8,notes
c4a02c31,3,False,2026-08-08T18:43:00+00:00,2.13.0+cu130,5.14.1,naive,"{""kv_cache"": ""false"", ""logits_to_keep"": ""1""}",Qwen/Qwen2.5-1.5B,float16,cuda,NVIDIA A10,2.7773,p64,64,256,1,,,,,0,False,256,max_new_tokens,0.021292,5.627254,5.605962,45.4873,45.4929,21.2468,25.4102,3119428608,cuda.max_memory_allocated,bd3a8218,
c4a02c31,4,False,2026-08-08T18:43:00+00:00,2.13.0+cu130,5.14.1,naive,"{""kv_cache"": ""false"", ""logits_to_keep"": ""1""}",Qwen/Qwen2.5-1.5B,float16,cuda,NVIDIA A10,2.7773,p64,64,256,1,,,,,0,False,256,max_new_tokens,0.021263,5.678744,5.657481,45.0731,45.0804,21.473,25.08,3119428608,cuda.max_memory_allocated,bd3a8218,
c4a02c31,-2,True,2026-08-08T18:43:00+00:00,2.13.0+cu130,5.14.1,naive,"{""kv_cache"": ""false"", ""logits_to_keep"": ""1""}",Qwen/Qwen2.5-1.5B,float16,cuda,NVIDIA A10,2.7773,p256,256,256,1,,,,,0,False,256,max_new_tokens,0.021513,7.26003,7.238517,35.2282,35.2616,28.2436,32.8001,3132253184,cuda.max_memory_allocated,4deebb10,
c4a02c31,-1,True,2026-08-08T18:43:00+00:00,2.13.0+cu130,5.14.1,naive,"{""kv_cache"": ""false"", ""logits_to_keep"": ""1""}",Qwen/Qwen2.5-1.5B,float16,cuda,NVIDIA A10,2.7773,p256,256,256,1,,,,,0,False,256,max_new_tokens,0.022451,7.303477,7.281026,35.0225,35.0518,28.6983,32.7163,3132253184,cuda.max_memory_allocated,4deebb10,
c4a02c31,0,False,2026-08-08T18:43:00+00:00,2.13.0+cu130,5.14.1,naive,"{""kv_cache"": ""false"", ""logits_to_keep"": ""1""}",Qwen/Qwen2.5-1.5B,float16,cuda,NVIDIA A10,2.7773,p256,256,256,1,,,,,0,False,256,max_new_tokens,0.023359,7.279226,7.255867,35.144,35.1686,28.6006,32.537,3132253184,cuda.max_memory_allocated,4deebb10,
c4a02c31,1,False,2026-08-08T18:43:00+00:00,2.13.0+cu130,5.14.1,naive,"{""kv_cache"": ""false"", ""logits_to_keep"": ""1""}",Qwen/Qwen2.5-1.5B,float16,cuda,NVIDIA A10,2.7773,p256,256,256,1,,,,,0,False,256,max_new_tokens,0.022238,7.274057,7.251819,35.1636,35.1936,28.1463,32.7165,3132253184,cuda.max_memory_allocated,4deebb10,
c4a02c31,2,False,2026-08-08T18:43:00+00:00,2.13.0+cu130,5.14.1,naive,"{""kv_cache"": ""false"", ""logits_to_keep"": ""1""}",Qwen/Qwen2.5-1.5B,float16,cuda,NVIDIA A10,2.7773,p256,256,256,1,,,,,0,False,256,max_new_tokens,0.022842,7.297206,7.274365,35.0546,35.0819,28.7382,32.5201,3132253184,cuda.max_memory_allocated,4deebb10,
c4a02c31,3,False,2026-08-08T18:43:00+00:00,2.13.0+cu130,5.14.1,naive,"{""kv_cache"": ""false"", ""logits_to_keep"": ""1""}",Qwen/Qwen2.5-1.5B,float16,cuda,NVIDIA A10,2.7773,p256,256,256,1,,,,,0,False,256,max_new_tokens,0.021111,7.301534,7.280423,35.0254,35.0611,28.5803,32.7356,3132253184,cuda.max_memory_allocated,4deebb10,
c4a02c31,4,False,2026-08-08T18:43:00+00:00,2.13.0+cu130,5.14.1,naive,"{""kv_cache"": ""false"", ""logits_to_keep"": ""1""}",Qwen/Qwen2.5-1.5B,float16,cuda,NVIDIA A10,2.7773,p256,256,256,1,,,,,0,False,256,max_new_tokens,0.02132,7.303604,7.282285,35.0165,35.0512,28.7324,32.9078,3132253184,cuda.max_memory_allocated,4deebb10,
c4a02c31,-2,True,2026-08-08T18:43:00+00:00,2.13.0+cu130,5.14.1,naive,"{""kv_cache"": ""false"", ""logits_to_keep"": ""1""}",Qwen/Qwen2.5-1.5B,float16,cuda,NVIDIA A10,2.7773,p1024,1024,256,1,,,,,0,False,256,max_new_tokens,0.061427,18.485751,18.424325,13.8404,13.8485,69.8627,80.6919,3183434240,cuda.max_memory_allocated,1a9f65ed,
c4a02c31,-1,True,2026-08-08T18:43:00+00:00,2.13.0+cu130,5.14.1,naive,"{""kv_cache"": ""false"", ""logits_to_keep"": ""1""}",Qwen/Qwen2.5-1.5B,float16,cuda,NVIDIA A10,2.7773,p1024,1024,256,1,,,,,0,False,256,max_new_tokens,0.06231,18.583271,18.520961,13.7682,13.7758,71.2044,80.8653,3183434240,cuda.max_memory_allocated,1a9f65ed,
c4a02c31,0,False,2026-08-08T18:43:00+00:00,2.13.0+cu130,5.14.1,naive,"{""kv_cache"": ""false"", ""logits_to_keep"": ""1""}",Qwen/Qwen2.5-1.5B,float16,cuda,NVIDIA A10,2.7773,p1024,1024,256,1,,,,,0,False,256,max_new_tokens,0.060502,18.617762,18.55726,13.7413,13.7503,70.2254,81.0371,3183434240,cuda.max_memory_allocated,1a9f65ed,
c4a02c31,1,False,2026-08-08T18:43:00+00:00,2.13.0+cu130,5.14.1,naive,"{""kv_cache"": ""false"", ""logits_to_keep"": ""1""}",Qwen/Qwen2.5-1.5B,float16,cuda,NVIDIA A10,2.7773,p1024,1024,256,1,,,,,0,False,256,max_new_tokens,0.061594,18.678173,18.616579,13.6975,13.7058,70.915,81.3804,3183434240,cuda.max_memory_allocated,1a9f65ed,
c4a02c31,2,False,2026-08-08T18:43:00+00:00,2.13.0+cu130,5.14.1,naive,"{""kv_cache"": ""false"", ""logits_to_keep"": ""1""}",Qwen/Qwen2.5-1.5B,float16,cuda,NVIDIA A10,2.7773,p1024,1024,256,1,,,,,0,False,256,max_new_tokens,0.061675,18.709686,18.648011,13.6744,13.6828,70.7977,81.3395,3183434240,cuda.max_memory_allocated,1a9f65ed,
c4a02c31,3,False,2026-08-08T18:43:00+00:00,2.13.0+cu130,5.14.1,naive,"{""kv_cache"": ""false"", ""logits_to_keep"": ""1""}",Qwen/Qwen2.5-1.5B,float16,cuda,NVIDIA A10,2.7773,p1024,1024,256,1,,,,,0,False,256,max_new_tokens,0.061036,18.712355,18.651319,13.672,13.6808,70.7637,81.4864,3183434240,cuda.max_memory_allocated,1a9f65ed,
c4a02c31,4,False,2026-08-08T18:43:00+00:00,2.13.0+cu130,5.14.1,naive,"{""kv_cache"": ""false"", ""logits_to_keep"": ""1""}",Qwen/Qwen2.5-1.5B,float16,cuda,NVIDIA A10,2.7773,p1024,1024,256,1,,,,,0,False,256,max_new_tokens,0.062017,18.752703,18.690685,13.6432,13.6514,71.0388,81.6599,3183434240,cuda.max_memory_allocated,1a9f65ed,
c4a02c31,-2,True,2026-08-08T18:43:00+00:00,2.13.0+cu130,5.14.1,naive,"{""kv_cache"": ""false"", ""logits_to_keep"": ""1""}",Qwen/Qwen2.5-1.5B,float16,cuda,NVIDIA A10,2.7773,p4096,4096,256,1,,,,,0,False,256,max_new_tokens,0.256382,71.131183,70.874802,3.5979,3.599,278.4432,284.2442,3388285952,cuda.max_memory_allocated,1e0485a6,
c4a02c31,-1,True,2026-08-08T18:43:00+00:00,2.13.0+cu130,5.14.1,naive,"{""kv_cache"": ""false"", ""logits_to_keep"": ""1""}",Qwen/Qwen2.5-1.5B,float16,cuda,NVIDIA A10,2.7773,p4096,4096,256,1,,,,,0,False,256,max_new_tokens,0.254734,71.122679,70.867945,3.5982,3.5994,278.5086,284.6643,3388285952,cuda.max_memory_allocated,1e0485a6,
c4a02c31,0,False,2026-08-08T18:43:00+00:00,2.13.0+cu130,5.14.1,naive,"{""kv_cache"": ""false"", ""logits_to_keep"": ""1""}",Qwen/Qwen2.5-1.5B,float16,cuda,NVIDIA A10,2.7773,p4096,4096,256,1,,,,,0,False,256,max_new_tokens,0.255913,71.184934,70.929021,3.5951,3.5963,278.5245,284.8165,3388285952,cuda.max_memory_allocated,1e0485a6,
c4a02c31,1,False,2026-08-08T18:43:00+00:00,2.13.0+cu130,5.14.1,naive,"{""kv_cache"": ""false"", ""logits_to_keep"": ""1""}",Qwen/Qwen2.5-1.5B,float16,cuda,NVIDIA A10,2.7773,p4096,4096,256,1,,,,,0,False,256,max_new_tokens,0.256452,71.126104,70.869652,3.5982,3.5992,278.6311,284.3788,3388285952,cuda.max_memory_allocated,1e0485a6,
c4a02c31,2,False,2026-08-08T18:43:00+00:00,2.13.0+cu130,5.14.1,naive,"{""kv_cache"": ""false"", ""logits_to_keep"": ""1""}",Qwen/Qwen2.5-1.5B,float16,cuda,NVIDIA A10,2.7773,p4096,4096,256,1,,,,,0,False,256,max_new_tokens,0.254301,71.144482,70.890182,3.5971,3.5983,278.8676,284.5016,3388285952,cuda.max_memory_allocated,1e0485a6,
c4a02c31,3,False,2026-08-08T18:43:00+00:00,2.13.0+cu130,5.14.1,naive,"{""kv_cache"": ""false"", ""logits_to_keep"": ""1""}",Qwen/Qwen2.5-1.5B,float16,cuda,NVIDIA A10,2.7773,p4096,4096,256,1,,,,,0,False,256,max_new_tokens,0.254216,71.128553,70.874337,3.5979,3.5991,278.1694,284.5169,3388285952,cuda.max_memory_allocated,1e0485a6,
c4a02c31,4,False,2026-08-08T18:43:00+00:00,2.13.0+cu130,5.14.1,naive,"{""kv_cache"": ""false"", ""logits_to_keep"": ""1""}",Qwen/Qwen2.5-1.5B,float16,cuda,NVIDIA A10,2.7773,p4096,4096,256,1,,,,,0,False,256,max_new_tokens,0.255463,71.14502,70.889558,3.5971,3.5983,278.5285,284.7411,3388285952,cuda.max_memory_allocated,1e0485a6,
